# Name       Mass   sM1   sM2   Rad    sR1    sR2     P          sP1      sP2    Meth Ms     sMs1 sMs2   Rs     sRs1  sRs2  Teff   sT1    sT2  Multiplicity
55 Cnc e    , 8.35,-0.41,0.44,1.990,-0.080,0.080, 0.73654170,-2.8e-06,2.80e-06,RV,0.905,-0.015,0.015,0.943,-0.010,0.010,5196.0,-24.0,24.0, 5
BD+20 594 b ,16.30,-6.00,6.00,2.230,-0.110,0.130,41.68550000,-3.1e-03,3.10e-03,RV,0.961,-0.029,0.032,0.928,-0.040,0.055,5766.0,-99.0,99.0, 1
CoRoT-7 b   , 7.42,-1.21,1.21,1.670,-0.090,0.090, 0.85358500,-2.4e-05,2.40e-05,RV,0.930,-0.030,0.030,0.870,-0.040,0.040,5313.0,-73.0,73.0, 1
GJ 436 b    ,22.00,-1.70,1.70,4.300,-0.049,0.049, 2.64394000,-9.9e-05,9.89e-05,RV,0.452,-0.012,0.012,0.464,-0.011,0.011,3684.0,-55.0,55.0, 1
GJ 1132 b   , 1.60,-0.54,0.54,1.150,-0.110,0.110, 1.62893000,-3.1e-05,3.10e-05,RV,0.181,-0.019,0.019,0.207,-0.016,0.016,3270.0,-140.,140., 1
GJ 1214 b   , 6.46,-0.99,0.99,2.740,-0.050,0.060, 1.58040482,-1.8e-07,1.80e-07,RV,0.150,-0.011,0.011,0.216,-0.012,0.012,3026.0,-150.,150., 1
GJ 3470 b   ,13.91,-1.63,1.64,4.190,-0.590,0.590, 3.33671000,-5.0e-05,5.00e-05,RV,0.539,-0.047,0.047,0.550,-0.012,0.012,3600.0,-100.,100., 1
HAT-P-26 b  ,18.60,-2.28,2.28,6.330,-0.580,0.580, 4.23451600,-1.5e-05,1.50e-05,RV,0.816,-0.033,0.033,0.788,-0.043,0.043,5079.0,-88.0,88.0, 1
HD 97658 b  , 7.55,-0.79,0.83,2.247,-0.095,0.098, 9.49030000,-1.5e-03,1.60e-03,RV,0.850,-0.020,0.020,0.730,-0.020,0.020,5170.0,-44.0,44.0, 1
HD 219134 b , 3.80,-0.32,0.32,1.606,-0.086,0.086, 3.09310000,-1.0e-04,1.00e-04,RV,0.780,-0.020,0.020,0.778,-0.005,0.005,4699.0,-16.0,16.0, 1
HIP 116454 b,11.80,-1.33,1.33,2.530,-0.180,0.180, 9.12650000,-5.0e-04,5.00e-04,RV,0.775,-0.027,0.027,0.716,-0.024,0.024,5089.0,-50.0,50.0, 1
Kepler-9 d  , 5.25,-1.75,1.75,2.000,-0.050,0.050, 1.59285100,-4.5e-05,4.50e-05,RV,1.000,-0.100,0.100,1.100,-0.090,0.090,5722.0,-61.0,61.0, 3
Kepler-10 b , 3.33,-0.49,0.49,1.473,-0.026,0.026, 0.83749026,-2.9e-07,2.90e-07,RV,0.910,-0.021,0.021,1.065,-0.009,0.009,5708.0,-28.0,28.0, 2
Kepler-11 d , 7.30,-1.50,0.80,3.120,-0.070,0.060,22.68719000,-2.1e-04,2.10e-04,TT,0.950,-0.100,0.100,1.100,-0.100,0.100,5680.0,-100.,100., 6
Kepler-11 e , 9.50,-2.10,1.50,4.190,-0.090,0.067,31.99590000,-2.8e-04,2.80e-04,TT,0.950,-0.100,0.100,1.100,-0.100,0.100,5680.0,-100.,100., 6
Kepler-11 f , 2.00,-0.90,0.80,2.490,-0.070,0.040,46.68876000,-7.4e-04,7.40e-04,TT,0.950,-0.100,0.100,1.100,-0.100,0.100,5680.0,-100.,100., 6
Kepler-18 c ,17.20,-1.90,1.90,5.480,-0.250,0.250, 7.64159000,-3.0e-05,3.00e-05,TT,0.972,-0.042,0.042,1.108,-0.051,0.051,5383.0,-44.0,44.0, 3
Kepler-18 d ,16.30,-1.39,1.39,6.970,-0.320,0.320,14.85888000,-4.0e-05,4.00e-05,TT,0.972,-0.042,0.042,1.108,-0.051,0.051,5383.0,-44.0,44.0, 3
Kepler-20 b , 9.69,-1.44,1.41,1.869,-0.034,0.066, 3.69611525,-8.7e-07,1.15e-06,RV,0.948,-0.051,0.051,0.964,-0.018,0.018,5466.0,-93.0,93.0, 6
Kepler-20 c ,12.75,-2.24,2.17,3.047,-0.056,0.064,10.85409089,-2.6e-06,3.03e-06,RV,0.948,-0.051,0.051,0.964,-0.018,0.018,5466.0,-93.0,93.0, 6
Kepler-20 d ,10.07,-3.69,3.97,2.744,-0.055,0.073,77.61130017,-1.2e-04,1.23e-04,RV,0.948,-0.051,0.051,0.964,-0.018,0.018,5466.0,-93.0,93.0, 6
Kepler-21 b , 5.10,-1.72,1.72,1.639,-0.015,0.019, 2.78578000,-3.0e-05,3.00e-05,RV,1.340,-0.060,0.060,1.860,-0.040,0.040,6131.0,-44.0,44.0, 1
Kepler-23 b ,15.20,-2.90,3.20,1.694,-0.076,0.076, 7.10699500,-7.3e-05,7.30e-05,TT,1.110,-0.120,0.090,1.548,-0.048,0.048,5760.0,-124.,124., 3
Kepler-25 b , 8.90,-2.20,2.40,2.702,-0.037,0.037, 6.23853690,-3.3e-06,3.30e-06,RV,1.220,-0.060,0.060,1.360,-0.130,0.130,6190.0,-80.0,80.0, 2
Kepler-25 c ,14.00,-2.50,2.50,5.154,-0.061,0.061,12.72036780,-3.5e-06,3.50e-06,RV,1.220,-0.060,0.060,1.360,-0.130,0.130,6190.0,-80.0,80.0, 2
Kepler-26 b , 2.78,-0.11,0.11,2.780,-0.110,0.110,12.28290000,-3.0e-04,3.00e-04,TT,0.544,-0.025,0.025,0.512,-0.017,0.017,3914.0,-119.,119., 4
Kepler-26 c ,6.195,-0.67,0.67,2.720,-0.120,0.120,17.25130000,-6.0e-04,6.00e-04,TT,0.544,-0.025,0.025,0.512,-0.017,0.017,3914.0,-119.,119., 4
Kepler-29 b ,4.510,-1.40,1.40,3.350,-0.220,0.220,10.33840000,-3.0e-04,3.00e-04,TT,0.979,-0.052,0.052,0.932,-0.060,0.060,5701.0,-102.,102., 2
Kepler-29 c ,4.100,-1.30,1.30,3.100,-0.200,0.200,13.28840000,-5.0e-04,5.00e-04,TT,0.979,-0.052,0.052,0.932,-0.060,0.060,5701.0,-102.,102., 2
Kepler-30 b ,11.00,-1.30,1.30,3.900,-0.220,0.220,29.33400000,-8.0e-03,8.00e-03,TT,0.990,-0.080,0.080,0.950,-0.120,0.120,5498.0,-54.0,54.0, 3
Kepler-30 d ,23.00,-2.50,2.50,8.900,-0.500,0.500,143.3430000,-9.0e-03,9.00e-03,TT,0.990,-0.080,0.080,0.950,-0.120,0.120,5498.0,-54.0,54.0, 3
Kepler-36 b , 4.46,-0.30,0.30,1.480,-0.030,0.030,13.83989000,-6.0e-03,8.20e-03,TT,1.113,-0.035,0.035,1.660,-0.019,0.019,5900.0,-41.0,41.0, 2
Kepler-36 c , 8.08,-0.46,0.60,3.679,-0.054,0.054,16.23855000,-3.8e-04,5.40e-04,TT,1.113,-0.035,0.035,1.660,-0.019,0.019,5900.0,-41.0,41.0, 2
Kepler-48 c ,14.61,-2.30,2.30,2.710,-0.130,0.130, 9.67392800,-2.0e-05,2.00e-05,RV,0.880,-0.060,0.060,0.890,-0.050,0.050,5194.0,-73.0,73.0, 3
Kepler-51 b , 2.10,-0.80,1.50,7.100,-0.300,0.300,45.15550230,-7.2e-05,7.20e-05,TT,1.040,-0.120,0.120,0.940,-0.500,0.500,5803.0,-100.,100., 3
