# Planet, M, mM, pM, R, mR, pR, P, mP, pP, Ms, mMs, pMs, Rs, mRs, pRs, T, sT
Kepler-21 b, 5.1,-1.72,1.72, 0.1462,-0.0013,+0.0017, 2.78578,-3e-05,3e-05, 1.34,-0.06,0.06, 1.86,-0.04,0.04, 6131.0,44.0
Kepler-20 f, 14.0,0.0, 0.0, 0.08948, -0.0079, +0.0045, 19.57758478,-0.00012256,+9.037e-05, 0.912,-0.035,+0.035, 0.944,-0.095,+0.095, 5466.0,-93.0,93.0
Kepler-20 c, 12.75,-2.24,+2.17, 0.2718,-0.005,+0.0057, 10.85409089,-2.6e-06,+3.03e-06 ,0.912,-0.035,+0.035, 0.944,-0.095,+0.095 ,5466.0,-93.0,93.0
Kepler-20 b, 9.69,-1.44,+1.41, 0.1667,-0.003,+0.0059, 3.69611525,-8.7e-07,+1.15e-06, 0.912,-0.035,+0.035, 0.944,-0.095,+0.095 ,5466.0,-93.0,93.0
Kepler-20 d, 10.07,-3.69,+3.97, 0.2448,-0.0049,+0.0065, 77.61130017,-0.00011588,+0.00012305, 0.912,-0.035,+0.035, 0.944,-0.095,+0.095 ,5466.0,-93.0,93.0
Kepler-56 b, 22.0,-3.8,+3.8, 0.58,-0.03,+0.03, 10.5016,-0.0011,+0.0011, 1.32,-0.13,+0.13, 4.23,-0.15,+0.15, 4840.0,-97.0,+97.0
Kepler-80 d, 6.75,-0.51,+0.69, 0.125,0.0,0.0 ,3.07,0.0,0.0, 0.738,4250.0
Kepler-80 c,6.74 ( -0.86 +1.23 ),0.23,9.52,-,0.738,4250.0
Kepler-80 b,6.93 ( -0.7 +1.0 ),0.21,7.05,-,0.738,4250.0
Kepler-80 e,4.1 ( -0.95 +0.79 ),0.134,4.64,-,0.738,4250.0
KIC 12557548 b,0.0200233 ( -0 +950.0 ),0.0758320560836 (± 0.0133821275442),0.653553 (± 1e-07),0.7 ( -0.08 +0.04 ),0.65 ( -0.05 +0.04 ),4412.0
GJ 1132 b,1.6 (± 0.54),0.103 (± 0.0098),1.62893 (± 3.1e-05),0.181 (± 0.019),0.207 (± 0.016),3270.0 (± 140.0)
KOI-1843 b,0.32 ( -0.16 +0.32 ),0.052 ( -0.007 +0.01 ),0.1768913 (± 2e-07),0.46 ( -0.05 +0.08 ),0.45 ( -0.05 +0.08 ),3584.0 (± 65.0)
K2-24 b,21.0 ( -5.4 +5.4 ),0.52 (± 0.054),20.8851 (± 0.0003),1.12 (± 0.05),1.21 (± 0.11),5743.0 (± 60.0)
GJ 436 b,22.0 ( -1.7 +1.7 ),0.38,2.64394 (± 9.85041e-05),0.452 ( -0.012 +0.012 ),0.464 ( -0.011 +0.011 ),3684.0 ( -55.0 +55.0 )
K2-19 c,9.9 ( -2.0 +3.91 ),0.434 ( -0.039 +0.055 ),11.90715 (± 0.0015),0.93 (± 0.05),0.86 (± 0.04),5430.0 (± 60.0)
Kepler-307 b,7.44 (± 0.95),0.217 (± 0.008),10.416,0.78 ( -1.36 +0.55 ),1.03 (± 0.42),5445.0
